iteration,time,psnr,n
0,4.305246591567993,20.12071990966797,200000
8,4.558029890060425,25.626619338989258,200000
17,4.811060190200806,29.692344665527344,200000
26,5.080121994018555,32.04364013671875,200000
35,5.348118305206299,33.393795013427734,200000
44,5.633495092391968,34.31044006347656,200000
53,5.920416831970215,35.03511428833008,200000
62,6.200904130935669,35.66132736206055,200000
71,6.49971342086792,36.20024871826172,200000
80,6.798491954803467,36.62931823730469,200000
89,7.081326723098755,36.996803283691406,200000
98,7.36387825012207,37.297725677490234,200000
107,7.662365674972534,37.54535675048828,200000
116,7.960947751998901,37.748023986816406,200000
125,8.259554624557495,37.91770935058594,200000
134,8.573548316955566,38.060768127441406,200000
143,8.888261079788208,38.179203033447266,200000
152,9.22054123878479,38.27922058105469,200000
161,9.55043888092041,38.367645263671875,200000
170,9.914353132247925,38.449798583984375,200000
180,10.2761390209198,38.52435302734375,200000
190,10.62141466140747,38.59065246582031,200000
200,10.98310923576355,38.64490509033203,200000
210,11.328363418579102,38.703529357910156,200000
220,11.705297708511353,38.748191833496094,200000
230,12.06688117980957,38.7842903137207,200000
240,12.444056987762451,38.83728790283203,200000
250,12.805141687393188,38.86733627319336,200000
260,13.18258547782898,38.90373229980469,200000
270,13.543833494186401,38.92313766479492,200000
280,13.921538352966309,38.97026443481445,200000
290,14.299695014953613,38.983428955078125,200000
300,14.676825523376465,39.01383972167969,200000
310,15.054186344146729,39.041664123535156,200000
320,15.446694374084473,39.06312561035156,200000
330,15.85523533821106,39.088748931884766,200000
341,16.27943515777588,39.103675842285156,200000
352,16.703165292739868,39.13081359863281,200000
363,17.12727165222168,39.14787673950195,200000
374,17.551039934158325,39.17182159423828,200000
385,17.975276708602905,39.194488525390625,200000
396,18.399949550628662,39.19969940185547,200000
407,18.842660903930664,39.22486114501953,200000
418,19.267717599868774,39.25080871582031,200000
429,19.69200110435486,39.242313385009766,200000
440,20.115947723388672,39.26926040649414,200000
451,20.55542755126953,39.29246520996094,200000
462,21.011152267456055,39.307579040527344,200000
474,21.482503414154053,39.28825378417969,200000
486,21.953885555267334,39.33083724975586,200000
498,22.409501552581787,39.33912658691406,200000
510,22.880368947982788,39.36301803588867,200000
522,23.351243257522583,39.36522674560547,200000
534,23.822235107421875,39.37451934814453,200000
546,24.292967557907104,39.378822326660156,200000
558,24.763936758041382,39.40206527709961,200000
570,25.23493456840515,39.41010665893555,200000
582,25.705604553222656,39.4063720703125,200000
594,26.2084698677063,39.42327117919922,200000
607,26.72603940963745,39.428585052490234,200000
620,27.22896409034729,39.44807434082031,200000
633,27.74763584136963,39.46562194824219,200000
646,28.250038146972656,39.46294403076172,200000
659,28.769451141357422,39.4705810546875,200000
672,29.27197289466858,39.48186492919922,200000
685,29.78942036628723,39.491851806640625,200000
698,30.308085680007935,39.50733184814453,200000
711,30.85823082923889,39.514129638671875,200000
725,31.40714192390442,39.51900100708008,200000
739,31.957298278808594,39.5110969543457,200000
753,32.50721597671509,39.536949157714844,200000
767,33.07232737541199,39.55249786376953,200000
781,33.62150764465332,39.5576057434082,200000
795,34.17081260681152,39.56767654418945,200000
809,34.76744318008423,39.56107711791992,200000
824,35.34801363945007,39.563072204589844,200000
839,35.94449853897095,39.55903244018555,200000
854,36.52512288093567,39.55961227416992,200000
869,37.12112212181091,39.5670280456543,200000
884,37.701576709747314,39.57798385620117,200000
899,38.29874515533447,39.58909606933594,200000
914,38.93471384048462,39.5998420715332,200000
930,39.55480360984802,39.60401916503906,200000
946,40.18364453315735,39.616798400878906,200000
962,40.81237268447876,39.623722076416016,200000
978,41.44040131568909,39.62040710449219,200000
994,42.068634271621704,39.63170623779297,200000
1010,42.7438907623291,39.64940643310547,200000
1027,43.40374279022217,39.649574279785156,200000
1044,44.07853555679321,39.66801834106445,200000
1061,44.73861479759216,39.66590118408203,200000
1078,45.41398596763611,39.67205810546875,200000
1095,46.12052512168884,39.673553466796875,200000
1113,46.82664203643799,39.69466018676758,200000
1131,47.5331346988678,39.67349624633789,200000
1149,48.25569248199463,39.67498016357422,200000
1167,48.961668252944946,39.69976043701172,200000
1185,49.699084997177124,39.71387481689453,200000
1204,50.45355248451233,39.69247055053711,200000
1223,51.1922492980957,39.69443893432617,200000
1242,51.945438623428345,39.69120407104492,200000
1261,52.72971558570862,39.73373794555664,200000
1281,53.516945362091064,39.745609283447266,200000
1301,54.30220055580139,39.736488342285156,200000
1321,55.087679386138916,39.745025634765625,200000
1341,55.9039888381958,39.74433898925781,200000
1362,56.73606300354004,39.746253967285156,200000
1383,57.55203032493591,39.72957229614258,200000
1404,58.431047201156616,39.758487701416016,200000
1426,59.27903938293457,39.768280029296875,200000
1448,60.14242100715637,39.74726486206055,200000
1470,61.05350637435913,39.77805709838867,200000
1493,61.94854021072388,39.78672409057617,200000
1516,62.843181133270264,39.77376174926758,200000
1539,63.78589367866516,39.79676818847656,200000
1563,64.71179342269897,39.77971649169922,200000
1587,65.68471336364746,39.803165435791016,200000
1612,66.67608523368835,39.79307556152344,200000
1637,67.68061661720276,39.81407928466797,200000
1662,68.73426532745361,39.7673454284668,200000
1688,69.99113702774048,39.80500030517578,200000
1714,71.17796587944031,39.827388763427734,200000
1741,72.24673652648926,39.81737518310547,200000
1768,73.33683967590332,39.81732177734375,200000
1796,74.43620085716248,39.80424499511719,200000
1824,75.55465149879456,39.818824768066406,200000
1853,76.67209243774414,39.839115142822266,200000
1882,77.83582639694214,39.8320198059082,200000
1912,79.03135538101196,39.80120849609375,200000
1943,81.21361756324768,39.83546447753906,200000
