iteration,time,psnr,n
0,4.349066734313965,14.4557523727417,200000
8,4.601783990859985,20.555400848388672,200000
17,4.853867292404175,22.95747947692871,200000
26,5.105516672134399,25.922149658203125,200000
35,5.372258186340332,27.983375549316406,200000
44,5.639810562133789,29.7242374420166,200000
53,5.906445741653442,31.167327880859375,200000
62,6.174375772476196,32.339996337890625,200000
71,6.442719459533691,33.263771057128906,200000
80,6.710569143295288,33.97007369995117,200000
89,6.993101119995117,34.50849151611328,200000
98,7.261321067810059,34.925601959228516,200000
107,7.543687343597412,35.261722564697266,200000
116,7.829830646514893,35.540077209472656,200000
125,8.112128257751465,35.779056549072266,200000
134,8.395321369171143,35.985103607177734,200000
143,8.678054571151733,36.16755676269531,200000
152,8.961482286453247,36.32805252075195,200000
161,9.259563446044922,36.47160339355469,200000
170,9.574095964431763,36.6137809753418,200000
180,9.888318061828613,36.7402458190918,200000
190,10.202218055725098,36.8571662902832,200000
200,10.522801637649536,36.96168518066406,200000
210,10.831475257873535,37.059505462646484,200000
220,11.161054849624634,37.1463737487793,200000
230,11.47568416595459,37.22970962524414,200000
240,11.805602550506592,37.30536651611328,200000
250,12.135480642318726,37.378173828125,200000
260,12.450571537017822,37.44342803955078,200000
270,12.780872583389282,37.50797653198242,200000
280,13.110717535018921,37.566795349121094,200000
290,13.440833568572998,37.62358093261719,200000
300,13.771223068237305,37.675804138183594,200000
310,14.100855588912964,37.72385787963867,200000
320,14.43138074874878,37.7700080871582,200000
330,14.792400121688843,37.81946563720703,200000
341,15.153443098068237,37.86543655395508,200000
352,15.514069557189941,37.90803527832031,200000
363,15.875404596328735,37.95025634765625,200000
374,16.220775842666626,37.98735046386719,200000
385,16.58256459236145,38.02325439453125,200000
396,16.943610429763794,38.061222076416016,200000
407,17.30478262901306,38.09270477294922,200000
418,17.66577386856079,38.12510299682617,200000
429,18.027806043624878,38.15741729736328,200000
440,18.404967784881592,38.18385314941406,200000
451,18.76628851890564,38.212257385253906,200000
462,19.15823531150818,38.24269485473633,200000
474,19.551072120666504,38.26996612548828,200000
486,19.943878650665283,38.29564666748047,200000
498,20.353009462356567,38.321475982666016,200000
510,20.74765419960022,38.34523391723633,200000
522,21.140716075897217,38.370357513427734,200000
534,21.55147624015808,38.39064407348633,200000
546,21.962337970733643,38.41248321533203,200000
558,22.355035543441772,38.436058044433594,200000
570,22.763654708862305,38.455074310302734,200000
582,23.17333722114563,38.47355270385742,200000
594,23.597377061843872,38.49829864501953,200000
607,24.021544933319092,38.51731872558594,200000
620,24.462946891784668,38.53577423095703,200000
633,24.887194871902466,38.55109405517578,200000
646,25.327472686767578,38.56991195678711,200000
659,25.752071857452393,38.588951110839844,200000
672,26.19133472442627,38.60500717163086,200000
685,26.61553168296814,38.622962951660156,200000
698,27.056813716888428,38.63703918457031,200000
711,27.514225006103516,38.653011322021484,200000
725,27.985826015472412,38.670860290527344,200000
739,28.442329168319702,38.68531036376953,200000
753,28.89728355407715,38.70198440551758,200000
767,29.353120803833008,38.715789794921875,200000
781,29.82456946372986,38.7305793762207,200000
795,30.279704570770264,38.74483108520508,200000
809,30.767772674560547,38.75850296020508,200000
824,31.270586490631104,38.77201461791992,200000
839,31.757123947143555,38.78569793701172,200000
854,32.25968146324158,38.799747467041016,200000
869,32.74708318710327,38.815826416015625,200000
884,33.23353934288025,38.82622528076172,200000
899,33.73662495613098,38.838077545166016,200000
914,34.2545063495636,38.851810455322266,200000
930,34.789021492004395,38.863975524902344,200000
946,35.32311964035034,38.87445068359375,200000
962,35.841001987457275,38.88911819458008,200000
978,36.37542796134949,38.9012451171875,200000
994,36.89440178871155,38.908687591552734,200000
1010,37.46003985404968,38.921451568603516,200000
1027,38.01051616668701,38.93291091918945,200000
1044,38.57627511024475,38.944915771484375,200000
1061,39.141764879226685,38.95492172241211,200000
1078,39.69049668312073,38.96625900268555,200000
1095,40.28765940666199,38.9785041809082,200000
1113,40.88422870635986,38.984962463378906,200000
1131,41.465514183044434,38.996036529541016,200000
1149,42.06212520599365,39.00788116455078,200000
1167,42.66001653671265,39.016639709472656,200000
1185,43.28845405578613,39.02613830566406,200000
1204,43.917633056640625,39.0363655090332,200000
1223,44.52958607673645,39.04594039916992,200000
1242,45.15792918205261,39.05629348754883,200000
1261,45.81736159324646,39.06610870361328,200000
1281,46.47660446166992,39.074256896972656,200000
1301,47.13572335243225,39.08458709716797,200000
1321,47.79757785797119,39.09531021118164,200000
1341,48.488852977752686,39.10285568237305,200000
1362,49.181132793426514,39.11212921142578,200000
1383,49.87352991104126,39.11990737915039,200000
1404,50.59835505485535,39.12946319580078,200000
1426,51.32223558425903,39.13850021362305,200000
1448,52.031431436538696,39.14607620239258,200000
1470,52.78845191001892,39.157718658447266,200000
1493,53.57692050933838,39.16405487060547,200000
1516,54.334065675735474,39.17354965209961,200000
1539,55.12249684333801,39.18383026123047,200000
1563,55.91221880912781,39.19058609008789,200000
1587,56.73239541053772,39.19580841064453,200000
1612,57.554117918014526,39.2066764831543,200000
1637,58.385109186172485,39.21366882324219,200000
1662,59.24267768859863,39.22322082519531,200000
1688,60.097275495529175,39.22999954223633,200000
1714,60.98085260391235,39.23672103881836,200000
1741,61.879108905792236,39.24674606323242,200000
1768,62.808990716934204,39.25821304321289,200000
1796,63.72505283355713,39.26312255859375,200000
1824,64.69009470939636,39.274696350097656,200000
1853,65.65239429473877,39.278316497802734,200000
1882,66.6450355052948,39.287906646728516,200000
1912,67.65769290924072,39.296661376953125,200000
1943,69.51225113868713,39.30878448486328,200000
