iteration,time,psnr,n
0,4.336175918579102,9.733392715454102,200000
8,4.545349359512329,11.369996070861816,200000
17,4.767408847808838,13.976640701293945,200000
26,5.001953601837158,18.798362731933594,200000
35,5.257000207901001,25.649852752685547,200000
44,5.511544227600098,30.35348129272461,200000
53,5.780092477798462,32.18364715576172,200000
62,6.065005540847778,32.960060119628906,200000
71,6.348432302474976,33.50486373901367,200000
80,6.647751808166504,33.955196380615234,200000
89,6.931753873825073,34.35740280151367,200000
98,7.216353893280029,34.727867126464844,200000
107,7.501370668411255,35.07194137573242,200000
116,7.784319639205933,35.380393981933594,200000
125,8.082199811935425,35.64970397949219,200000
134,8.367013216018677,35.89335250854492,200000
143,8.650123357772827,36.089141845703125,200000
152,8.950732946395874,36.278541564941406,200000
161,9.25150990486145,36.42544174194336,200000
170,9.577521562576294,36.58921813964844,200000
180,9.903706073760986,36.71943283081055,200000
190,10.221331119537354,36.82682800292969,200000
200,10.548402547836304,36.94371795654297,200000
210,10.864954710006714,37.040103912353516,200000
220,11.195297002792358,37.10063552856445,200000
230,11.515604257583618,37.210472106933594,200000
240,11.841298580169678,37.26741409301758,200000
250,12.17223048210144,37.34021759033203,200000
260,12.488774299621582,37.40878677368164,200000
270,12.820841073989868,37.44330596923828,200000
280,13.15840196609497,37.513572692871094,200000
290,13.48392391204834,37.562015533447266,200000
300,13.816506385803223,37.61988067626953,200000
310,14.149371862411499,37.63470458984375,200000
320,14.496097087860107,37.70809555053711,200000
330,14.857852458953857,37.75469970703125,200000
341,15.216497898101807,37.76973342895508,200000
352,15.583542108535767,37.83694076538086,200000
363,15.946850776672363,37.84825897216797,200000
374,16.325926303863525,37.914451599121094,200000
385,16.68900418281555,37.936405181884766,200000
396,17.03657841682434,37.97364807128906,200000
407,17.40083956718445,38.006404876708984,200000
418,17.778051376342773,38.04524230957031,200000
429,18.13884425163269,38.06745529174805,200000
440,18.50008487701416,38.09955978393555,200000
451,18.87683629989624,38.112648010253906,200000
462,19.269529581069946,38.14638900756836,200000
474,19.66216516494751,38.14137268066406,200000
486,20.0550594329834,38.216796875,200000
498,20.46315622329712,38.239749908447266,200000
510,20.871025323867798,38.207252502441406,200000
522,21.27941608428955,38.263545989990234,200000
534,21.687095403671265,38.32402038574219,200000
546,22.110640048980713,38.313819885253906,200000
558,22.53406548500061,38.37184143066406,200000
570,22.941797971725464,38.38126754760742,200000
582,23.350051641464233,38.372467041015625,200000
594,23.789349794387817,38.43682861328125,200000
607,24.22903871536255,38.45266342163086,200000
620,24.652655601501465,38.4465446472168,200000
633,25.09217858314514,38.46450424194336,200000
646,25.51612091064453,38.481842041015625,200000
659,25.956149339675903,38.46704864501953,200000
672,26.379712104797363,38.500144958496094,200000
685,26.819504022598267,38.53976821899414,200000
698,27.259015560150146,38.55519104003906,200000
711,27.72977066040039,38.61408615112305,200000
725,28.201053857803345,38.58336639404297,200000
739,28.67143154144287,38.446205139160156,200000
753,29.142395734786987,38.63911437988281,200000
767,29.613447666168213,38.630393981933594,200000
781,30.084675788879395,38.68285369873047,200000
795,30.556066513061523,38.61553192138672,200000
809,31.061439990997314,38.68330383300781,200000
824,31.56486678123474,38.744285583496094,200000
839,32.071035385131836,38.75637435913086,200000
854,32.57400941848755,38.72524642944336,200000
869,33.07735872268677,38.783241271972656,200000
884,33.57992362976074,38.733333587646484,200000
899,34.08252930641174,38.73740005493164,200000
914,34.60033822059631,38.74711227416992,200000
930,35.13537406921387,38.76498794555664,200000
946,35.673100233078,38.854373931884766,200000
962,36.206772804260254,38.842994689941406,200000
978,36.7402069568634,38.82716369628906,200000
994,37.27460765838623,38.84679412841797,200000
1010,37.82397413253784,38.91367721557617,200000
1027,38.38923621177673,38.87672805786133,200000
1044,38.95480918884277,38.898075103759766,200000
1061,39.51978254318237,38.74477767944336,200000
1078,40.06935000419617,38.83303451538086,200000
1095,40.66611075401306,38.86906051635742,200000
1113,41.24665379524231,38.9875373840332,200000
1131,41.84354782104492,39.02085876464844,200000
1149,42.44101810455322,38.97614669799805,200000
1167,43.0216224193573,38.936885833740234,200000
1185,43.65384888648987,39.00910949707031,200000
1204,44.357871532440186,38.98295211791992,200000
1223,45.04960060119629,39.064537048339844,200000
1242,45.67727708816528,39.03712844848633,200000
1261,46.33649253845215,39.036041259765625,200000
1281,46.99595236778259,38.72455596923828,200000
1301,47.654942989349365,38.93085861206055,200000
1321,48.29940176010132,39.10450744628906,200000
1341,48.9905743598938,39.016822814941406,200000
1362,49.68158984184265,39.09366989135742,200000
1383,50.35627865791321,39.10920715332031,200000
1404,51.078179359436035,38.89583206176758,200000
1426,51.80088973045349,39.10579299926758,200000
1448,52.5228853225708,39.15684509277344,200000
1470,53.27597427368164,39.12217330932617,200000
1493,54.02981638908386,39.15345764160156,200000
1516,54.783355951309204,39.176849365234375,200000
1539,55.55323314666748,39.14852523803711,200000
1563,56.34010314941406,39.057098388671875,200000
1587,57.156081199645996,39.157840728759766,200000
1612,57.97224020957947,39.08016586303711,200000
1637,58.788437604904175,39.22161865234375,200000
1662,59.636879205703735,39.16615295410156,200000
1688,60.46896934509277,39.16935729980469,200000
1714,61.34822106361389,39.20508575439453,200000
1741,62.226802825927734,39.29806900024414,200000
1768,63.137187480926514,39.271522521972656,200000
1796,64.04744267463684,39.157142639160156,200000
1824,65.00510883331299,39.18547058105469,200000
1853,65.93088388442993,39.34107971191406,200000
1882,66.90560054779053,39.320560455322266,200000
1912,67.91005086898804,39.17438888549805,200000
1943,69.73212456703186,39.37730407714844,200000
